,Gene
0,LCP2
1,PTPN6
2,TSEN54
3,SEC11C
4,ARHGDIB
5,DOCK8
6,APOBEC3G
7,GMFG
8,PIK3CD
9,IL18
10,PSME2
11,PSME1
12,PRPS2
13,OASL
14,PRKCB
15,GMEB1
16,GGT5
17,LBR
18,STK4
19,SERPINB9
20,SLFN5
21,COTL1
22,TALDO1
23,DOCK2
24,EXOSC7
25,APBB1IP
26,RPS6KA5
27,PRKAR2B
28,DCK
29,PSMB9
30,ARRB2
31,GLOD4
32,BTN3A1
33,HLA-DPB1
34,ARHGEF6
35,REL
36,FERMT3
37,TAF15
38,PFN1
39,MORC3
40,DGKA
41,RAPGEF6
42,PSAP
43,ADA
44,TUBA4A
45,ITGA7
46,MTMR1
47,AKR1B1
48,LCP1
49,PSMB3
50,DEF6
51,SYNGR2
52,EFHD2
53,PLEKHA2
54,RIN3
55,OSTF1
56,CTCF
57,DOCK10
58,EZR
59,LYN
60,HLA-DRA
61,MGMT
62,TSPAN8
63,CSK
64,CYB5B
65,TAP2
66,IFI35
67,NCEH1
68,GIMAP7
69,CGGBP1
70,CTSD
71,GMPR2
72,AP1S2
73,ARRB1
74,CYFIP2
75,PDS5B
76,SH3KBP1
77,RAB29
78,THYN1
79,CRLF3
80,RPL34
81,RPS6KA3
82,CCM2
83,ACP1
84,ACSL5
85,UBE2J1
86,PFKL
87,RPS6KA1
88,CASP1
89,SYK
90,PRKD2
91,ARHGEF1
92,RPA2
93,TACC3
94,DDX24
95,HMGB2
96,GTF2E2
97,PLVAP
98,NRF1
99,PYCARD
100,RENBP
101,EWSR1
102,SIPA1
103,TBCA
104,RABGAP1L
105,PPAT
106,MAP3K2
107,ARHGAP17
108,PSMA4
109,SAMHD1
110,CAB39
111,ARHGAP4
112,ALDH9A1
113,CD82
114,CHUK
115,FTO
116,PDCD4
117,SH3BP1
118,TERF2IP
119,ACTR2
120,PARVG
121,SH3GLB2
122,ATM
123,GBP4
124,PNP
125,CSTF2
126,GMIP
127,BAZ1A
128,NGLY1
129,EPHX1
130,CBL
131,MNDA
132,PRKCD
133,IDH3A
134,PGM2
135,ALDH2
136,SPCS2
137,PPWD1
138,IDH3G
139,PLEKHO2
140,PPP3CC
141,MMAA
142,RAB27A
143,TOR1A
144,CEP135
145,ARPC2
146,STK38
147,UFM1
148,BTK
149,DDX60
150,PSMA5
151,PSMA7
152,GTF2A2
153,HCK
154,SNRPD1
155,TMPO
156,EHD1
157,SUB1
158,OGFR
159,SH3BGRL
160,NEK9
161,NFATC2
162,XPC
163,ILKAP
164,CD74
165,TCEA1
166,ACAP2
167,ATP11B
168,RAB8B
169,METTL7A
170,STK24
171,MAPK1
172,CHMP7
173,PLD3
174,PPP6C
175,ANP32E
176,RNF213
177,SERPINB1
178,PSMB2
179,SMCHD1
180,CRIP1
181,S100A9
182,NFKB2
183,HNRNPD
184,ARPC5
185,KIF2A
186,CTSB
187,OSBPL8
188,RAD23A
189,CNDP2
190,TOR1AIP1
191,DENND2D
192,STAG2
193,ITGAX
194,BRK1
195,ERAP2
196,ENOPH1
197,PLSCR1
198,RIOK1
199,PPP3CB
200,RABGEF1
201,CFL1
202,INO80
203,ATP2A3
204,CTBP1
205,OPTN
206,RNASEH2A
207,PSIP1
208,MMP9
209,RPA1
210,ARPC1B
211,RFTN1
212,SLC25A11
213,STK39
214,LAP3
215,UVRAG
216,COX4I1
217,ITGB2
218,GNA12
219,SUMO3
220,NECAP2
221,KDM2A
222,CMPK2
223,SYNRG
224,ANKRD44
225,RPL24
226,TWF2
227,TAPBP
228,APAF1
229,SWAP70
230,MAPKAPK2
231,NMI
232,RPL8
233,ITSN2
234,POLR3F
235,PTGES3
236,GLTP
237,MAP3K5
238,STAT1
239,PCMT1
240,PSMA6
241,SEC11A
242,GBP2
243,MYD88
244,SYNE3
245,NCBP2
246,BTN3A2
247,VPS4A
248,MAP2K3
249,MYO1F
250,DR1
251,UNC13D
252,ATAD2B
253,GTF2A1
254,ABR
255,USP11
256,TBC1D22A
257,SRP72
258,MAP4K2
259,GATM
260,GCLC
261,UBTF
262,AKR1A1
263,HECTD3
264,GNA13
265,GABPA
266,MYCBP2
267,NFKB1
