,0
0,P12107
1,P05997
2,Q9BXJ4
3,P36955
4,P13611
5,Q9BXN1
6,Q8IUX7
7,Q9Y240
8,P07951
9,Q96CG8
10,Q15063
11,P49747
12,P35442
13,Q06033
14,Q76M96
15,P17661
16,P02751
17,P07996
18,P51884
19,P23142
20,Q96HF1
21,Q12884
22,Q4ZHG4
23,P51911
24,Q01995
25,Q53GG5
26,P21810
27,P08253
28,P01009
29,P24844
30,P19827
31,Q9H9Q2
32,Q9NR99
33,P09493
34,Q99715
35,Q66K79
36,Q9UPQ9
37,O75339
38,P53814
39,P20908
40,A1L4H1
41,P01011
42,Q9ULV3
43,Q7Z304
44,O60687
45,Q9NR12
46,Q8IUL8
47,P24347
48,Q7Z5L7
49,Q92743
50,Q96D15
51,Q8IWU6
52,Q7Z7G0
53,Q16647
54,Q6ZNB6
55,P01024
56,P01031
57,Q9H6X2
58,Q92629
59,Q06828
60,Q9P299
61,P08648
62,Q9BRU9
63,P09012
64,Q05682
65,P00751
66,P18428
67,Q9HC07
68,Q9H3U5
69,Q3SY69
70,Q9BSV6
71,P55058
72,Q96SM3
73,P49746
74,P06681
75,Q96EZ8
76,O94855
77,Q9Y4K0
78,P40261
79,Q14642
80,P55957
81,Q9BXJ0
82,P01019
83,Q96CP2
84,Q0ZGT2
85,O00754
86,Q9BT09
87,P83110
88,Q53TN4
89,Q9UKX5
90,P08174
91,O75312
92,P56524
93,Q15417
94,P50479
95,Q08431
96,Q9BRK3
97,P16278
98,P05155
99,P43353
100,O94875
101,Q6UXI9
102,P12814
103,Q9Y6R0
104,P55290
105,P50281
106,P21333
107,Q9HD26
108,Q6PJF5
109,P02458
110,Q08495
111,Q9Y696
112,Q9BXW6
113,Q07954
114,Q9H425
115,Q13671
116,Q8WUQ7
117,Q93052
118,P53677
119,P21757
120,Q14BN4
121,Q14766
122,Q6WCQ1
123,Q9UP38
124,P51687
125,P01033
126,O43826
127,Q96CP6
128,Q9P0K7
129,Q6UX71
130,Q9UKM7
131,Q96SL4
132,Q5M775
133,Q96KC8
134,O94985
135,Q8NCH0
136,Q8IUH3
137,Q9BY67
138,P29992
139,P35580
140,P21291
141,Q7Z7A3
142,Q96DT7
143,P14136
144,Q9Y2E4
145,Q9NQ79
146,P07093
147,Q9UPQ3
148,Q14CN4
149,O94851
150,Q9UP95
151,Q6PD74
152,Q9NRR5
153,Q6NUK4
154,Q7LGA3
155,Q70UQ0
156,Q92626
157,Q9NZU5
158,Q9Y625
159,Q9BQ04
160,O60831
161,Q14195
162,Q53EP0
163,O75191
164,O60701
165,O00461
166,Q9NWV8
167,Q8IWE2
168,Q13885
169,Q15904
170,Q8N9R8
171,Q8TED1
172,Q15811
173,P50454
174,Q8IW35
175,P36222
176,Q659C4
177,Q6SPF0
178,P21709
179,Q86T24
180,P49768
181,Q8TBC5
182,Q8NFH5
183,P54252
184,Q8NBJ5
185,Q9HCB6
186,Q5SNT2
187,Q8WUK0
188,P16989
189,Q9NVD7
190,Q03001
191,O43493
192,Q5HYI8
193,Q14678
194,Q9BTE7
195,P35556
196,Q96EU6
197,Q53GS7
198,O15427
199,O94832
200,Q07065
201,O00391
202,Q8WXF7
203,Q9P2E9
204,P35475
205,Q92997
206,P51617
207,O75718
208,Q8WWH5
209,Q16576
210,Q96IZ0
211,Q15048
212,P07942
213,P84157
214,Q8WXE0
215,P01112
216,P06756
217,Q02809
218,Q9ULC3
219,Q9Y6R7
220,Q9P2B2
221,Q13136
222,Q14192
223,P46821
224,Q00587
225,P18206
226,Q9NRY4
227,P18084
228,O43432
229,O94829
230,Q9BZF9
231,Q01650
232,O15344
233,Q9HCE3
234,P35052
235,Q00341
236,Q13509
237,Q6UVK1
238,P39060
239,Q9H2D6
240,Q86UU1
241,P35612
242,Q9Y4G6
243,Q9HBL0
244,Q9Y6Q5
245,Q01167
246,Q69YQ0
247,Q92738
248,Q9BTA9
249,Q15021
250,Q14145
251,P20339
252,Q9BZG1
253,Q9Y3Q3
254,O75094
255,P27540
256,Q6DKJ4
257,Q15054
258,Q86SQ0
259,P40424
260,Q9Y320
261,Q9P1Y5
262,Q9BVT8
